LER Number,Plant Name,Event Date,Report Date,Title/Abstract,Cause Labels,Incident Labels
252022001.0,Vogtle 3,10/06/2022,12/02/2022,Automatic Reactor Trip Signal due to Inadequate Procedure Guidance Causing Incorrect Opening of Division B DC Supply Breaker,['Design or Maintenance Issues'],['Operational Incidents']
252022002.0,Vogtle 3,10/23/2022,02/03/2023,Automatic Depressurization System Stage 4 Flow Paths Inoperable During Mode 6 with Upper Internals in Place due to Inadequate Work Processes,['Design or Maintenance Issues'],['Unclassified']
252022003.0,Vogtle 3,10/24/2022,12/19/2022,Unborated Water Flowpath Not Secured per Technical Specification 3.9.2 due to Inadequate Procedure Revision,['Design or Maintenance Issues'],['Unclassified']
252023001.0,Vogtle 3,01/14/2023,03/14/2023,Manual Actuation of Reactor Protection System During Mode 3 due to an Inadequate Procedure Step,['Design or Maintenance Issues'],['Operational Incidents']
252023002.0,Vogtle 3,03/15/2023,05/15/2023,"Automatic RPS Actuation During Mode 1 due to Incorrect Relay Settings Caused by Less Than Adequate Questioning Attitude, Validation of Assumptions, and lnterface/Guidance",['Unclassified'],['Unclassified']
252023003.0,Vogtle 3,04/10/2023,06/08/2023,Automatic Reactor Protection System Actuation During Startup Testing due to Incorrect Turbine Control Valve Setting,['Unclassified'],['Equipment and Mechanical Failures']
252023004.0,Vogtle 3,05/02/2023,06/30/2023,Manual Reactor Protection System Actuation due to Condenser Flanges Not Removed During Construction,['Unclassified'],['Unclassified']
252023005.0,Vogtle 3,07/09/2023,09/06/2023,Automatic Reactor Protection System Actuation During Startup Testing due to Inadequate Turbine Trip Logic,['Design or Maintenance Issues'],['Unclassified']
252023006.0,Vogtle 3,07/21/2023,09/19/2023,"Automatic Reactor Protection System Actuation During Startup Testing due to Auto Reactive Power Regulator Being Active 
While in Island Mode Operation",['Unclassified'],['Electrical and Power Issues']
292021001.0,Yankee-Rowe,11/19/2021,01/12/2022,Compensatory Measure Not Established for a Momentary I/O Board Communication Loss,['Unclassified'],['Unclassified']
2192022001.0,Oyster Creek,05/07/2021,01/21/2022,Compensatory Measures Not Implemented Per Site's Physical Security Plan due to Multiplexer (MUX) Failure,['Unclassified'],['Equipment and Mechanical Failures']
2202021001.0,Nine Mile Point 1,03/12/2021,05/11/2021,Average Power Range Monitors Declared Inoperable due to Trip of Reactor Recirculation Pump 13,['Unclassified'],"['Equipment and Mechanical Failures', 'Electrical and Power Issues']"
2202021002.0,Nine Mile Point 1,09/25/2021,11/19/2021,Isolation of Both Emergency Condensers due to Loss of UPS 162A,['Unclassified'],['Environmental and Containment Issues']
2202023001.0,Nine Mile Point 1,03/18/2023,08/11/2023,"Supplement to LER 2023-001-00, Indication on the N2E Dissimilar Metal Weld Exceeding ASME Acceptance Criteria",['Unclassified'],['Unclassified']
2202023002.0,Nine Mile Point 1,10/21/2023,12/15/2023,Average Power Range Monitors Declared Inoperable due to Trip of Reactor Recirculation Pump 12,['Unclassified'],"['Equipment and Mechanical Failures', 'Electrical and Power Issues']"
2372022001.0,Dresden 2,07/12/2022,10/28/2022,Unit 2 Reactor Scram due to Turbine Trip on High Reactor Water Level Caused by Feedwater Regulating Valve Failure,['Unclassified'],['Equipment and Mechanical Failures']
2372022002.0,"Dresden 2, Dresden 3",07/29/2022,10/28/2022,Ultimate Heat Sink Declared Inoperable due to River Grass Accumulation,['Unclassified'],['Unclassified']
2442021001.0,Ginna,06/02/2021,11/18/2021,"Service Water Pump ""A"" Declared Inoperable due to Winding Failure Following Replacement Resulting in Violation of Technical Specifications LCO 3.7.8.A (One Service Water Pump Inoperable Greater than 14 days)",['Unclassified'],['Equipment and Mechanical Failures']
2442021002.0,Ginna,10/04/2021,12/02/2021,Valid Auxiliary Feedwater System Actuation on Lowered Steam Generator Level due to Failure to Control Main Feed Water Flow and Delay in Closing Main Steam Isolation Valves,['Unclassified'],"['Equipment and Mechanical Failures', 'Electrical and Power Issues', 'Environmental and Containment Issues']"
2442023001.0,Ginna,04/11/2023,06/07/2023,Vital Bus 17 Failed to Load onto Emergency Diesel Generator B During Load / Safeguard Sequence Testing; Corroded Breaker Shunt Trip Attachment Plunger Found Which Indicated an Earlier Violation of Technical Specifications 3.8.1,['Unclassified'],['Electrical and Power Issues']
2442023002.0,Ginna,09/09/2023,11/08/2023,Overtemperature Delta Temperature Reactor Protection System and Auxiliary Feedwater System Actuations on due to 100% Load Rejection Caused by Turbine Overspeed Circuit Card Failure (Parts Quality Initiative Inspection Bypassed),['Systemic or Policy Failures'],['Equipment and Mechanical Failures']
2442023003.0,Ginna,10/12/2023,03/07/2024,"Supplement to LER 2023-003-00, Manual Reactor Trip due to Degraded Condenser Vacuum from Lowering Main Steam to Air 
Ejectors and Auxiliary Feedwater Actuation due to Low Steam Generator Level",['Unclassified'],"['Electrical and Power Issues', 'Operational Incidents']"
2492021001.0,Dresden 3,10/16/2021,06/14/2022,Unit 3 Reactor Scram due to Main Power Transformer Failure,['Unclassified'],"['Equipment and Mechanical Failures', 'Electrical and Power Issues']"
2502021001.0,Turkey Point 3,03/01/2021,04/29/2021,Automatic Reactor Trip due to Reactor Trip Breaker Cell Switch Malfunction,['Unclassified'],['Operational Incidents']
2502021002.0,"Turkey Point 3, Turkey Point 4",04/15/2021,06/03/2021,Unrecognized Technical Specification Surveillance Requirement Non-Compliance,['Unclassified'],['Unclassified']
2502021003.0,Turkey Point 3,10/09/2021,12/02/2021,Auxiliary Feedwater Actuation due to Feedwater Isolation During Plant Shutdown,['Unclassified'],"['Operational Incidents', 'Environmental and Containment Issues']"
2502021004.0,Turkey Point 3,11/12/2021,01/06/2022,Through-Wall Leakage from Core Exit Thermocouple Tubing,['Unclassified'],['Environmental and Containment Issues']
2502023001.0,Turkey Point 3,04/15/2023,06/14/2023,RCS Pressure Boundary Degraded,['Unclassified'],['Unclassified']
2502023002.0,Turkey Point 3,08/04/2023,10/02/2023,Manual Reactor Trip due to Steam Generator Feedwater Regulating Valve Positioner Failure,['Unclassified'],"['Equipment and Mechanical Failures', 'Electrical and Power Issues', 'Operational Incidents']"
2502023003.0,Turkey Point 3,09/22/2023,11/20/2023,Grid Disturbance in Switchyard Causes Automatic Reactor Trip,['Unclassified'],['Operational Incidents']
2502023004.0,Turkey Point 3,10/24/2023,12/13/2023,Unplanned Automatic Scram During RPS Testing,['Unclassified'],['Unclassified']
2502024002.0,Turkey Point 3,02/07/2021,07/10/2024,Condition Prohibited by Technical Specifications,['Unclassified'],['Unclassified']
2542021001.0,Quad Cities 1,03/19/2021,05/18/2021,Automatic Actuation of Emergency Diesel Generator due to Transformer Maintenance,['Design or Maintenance Issues'],['Electrical and Power Issues']
2542022001.0,Quad Cities 1,12/01/2021,01/26/2022,High Pressure Coolant Injection System Inoperable due to Gland Seal System Malfunction,['Unclassified'],['Unclassified']
2542022002.0,Quad Cities 1,05/10/2022,07/08/2022,Low Pressure Coolant Injection Manually Isolated due to Valve Test Equipment Issue,['Unclassified'],['Equipment and Mechanical Failures']
2542022003.0,"Quad Cities 1, Quad Cities 2",07/04/2022,09/01/2022,Both Trains of Standby Gas Treatment Inoperable due to Blockage in the Common Discharge Line,['Unclassified'],['Unclassified']
2552021001.0,Palisades,06/16/2021,08/13/2021,Atmospheric Steam Dump Valves Inoperable due to Relay Failure,['Unclassified'],['Equipment and Mechanical Failures']
2592021001.0,"Browns Ferry 1, Browns Ferry 2",03/03/2021,07/06/2022,480 Volt Load Shed Logic Inoperable Longer than Allowed by Technical Specifications due to Failed Relay,['Unclassified'],['Unclassified']
2592022001.0,"Browns Ferry 1, Browns Ferry 2",01/15/2022,05/31/2022,Pressure Boundary Leak on Residual Heat Removal System Low Pressure Coolant Injection Test Line,['Unclassified'],['Unclassified']
2592022002.0,Browns Ferry 1,07/12/2022,10/12/2023,High Pressure Coolant Injection System Declared Inoperable due to a Corroded Actuator,['Unclassified'],['Unclassified']
2592022003.0,Browns Ferry 1,12/06/2022,02/06/2023,Main Steam Relief Valves Lift Settings Outside of Technical Specifications Required Setpoints,['Unclassified'],['Equipment and Mechanical Failures']
2592023001.0,Browns Ferry 1,01/24/2023,06/13/2023,High Pressure Coolant Injection System Inoperable due to a Torn Valve Diaphragm,['Unclassified'],['Equipment and Mechanical Failures']
2592023002.0,Browns Ferry 1,05/20/2023,07/19/2023,Full Reactor Scram due to an Oscillation Power Range Monitor Confirmation Density Algorithm Trip,['Unclassified'],['Electrical and Power Issues']
2592023003.0,Browns Ferry 1,01/18/2023,01/29/2024,Standby Liquid Control Inoperable due to Demineralized Water In-leakage,['Unclassified'],['Environmental and Containment Issues']
2592024001.0,"Browns Ferry 1, Browns Ferry 2, Browns Ferry 3",12/14/2022,07/03/2024,Inoperability of Unit 3 Diesel Generator due to Relay Failure,['Unclassified'],"['Equipment and Mechanical Failures', 'Electrical and Power Issues']"
2602021001.0,Browns Ferry 2,04/22/2021,08/20/2021,Inoperability of a TS-required Main Steam Isolation Valve,['Unclassified'],"['Equipment and Mechanical Failures', 'Environmental and Containment Issues']"
2602021002.0,Browns Ferry 2,06/03/2021,08/02/2021,Main Steam Relief Valves Lift Settings Outside of Technical Specifications Required Setpoints,['Unclassified'],['Equipment and Mechanical Failures']
2602023001.0,Browns Ferry 2,02/18/2023,09/18/2023,Pressure Boundary Leak on Recirculation Pump Discharge Isolation Valve Drain Line due to Fatigue Failure,['Unclassified'],"['Equipment and Mechanical Failures', 'Environmental and Containment Issues']"
2602023002.0,Browns Ferry 2,06/05/2023,08/04/2023,Main Steam Relief Valves Lift Settings Outside of Technical Specifications Required Setpoints,['Unclassified'],['Equipment and Mechanical Failures']
2602024001.0,Browns Ferry 2,12/18/2023,04/17/2024,Secondary Containment Isolation Valve Inoperable due to Mechanical Failure,['Unclassified'],"['Equipment and Mechanical Failures', 'Environmental and Containment Issues']"
2612023001.0,Robinson 2,06/12/2023,08/10/2023,Condition Prohibited by Technical Specification due to Missed Entry into Limiting Condition for Operation,['Unclassified'],['Unclassified']
2612023002.0,Robinson 2,06/22/2023,08/17/2023,Plant Trip During Reactor Protection System Testing,['Unclassified'],['Unclassified']
2632022001.0,Monticello,05/13/2022,07/07/2022,Loss of Control Room Envelope Operability,['Unclassified'],['Unclassified']
2632023001.0,Monticello,03/04/2023,05/17/2023,Main Steam Isolation Valve Leakage Exceeds Technical Specification Requirements Due to Stem Scoring,['Unclassified'],"['Equipment and Mechanical Failures', 'Environmental and Containment Issues']"
2632023002.0,Monticello,09/27/2023,11/13/2023,Reactor Scram and Containment Isolation due to Valve Responses During Main Turbine Control Valve Testing,['Unclassified'],"['Equipment and Mechanical Failures', 'Environmental and Containment Issues']"
2632023003.0,Monticello,10/07/2023,12/04/2023,Condition Prohibited by Technical Specifications due to Inoperable Main Steam Line Low Pressure Isolation Switch,['Unclassified'],['Environmental and Containment Issues']
2652022001.0,Quad Cities 2,03/21/2022,05/20/2022,Electromatic Relief Valve 3B Did Not Actuate due to Incorrectly Oriented Plunger Well Plastic Guides,['Unclassified'],['Equipment and Mechanical Failures']
2652022002.0,Quad Cities 2,07/04/2022,09/01/2022,Manual Scram due to Feedwater Regulator Valve Failure Decreasing Reactor Water Level,['Unclassified'],['Equipment and Mechanical Failures']
2652022003.0,Quad Cities 2,11/04/2022,12/30/2022,Manual Scram due to Feedwater Regulator Valve Failure Increasing Reactor Water Level,['Unclassified'],['Equipment and Mechanical Failures']
2652023001.0,Quad Cities 2,08/11/2023,11/30/2023,Turbine Trip and Automatic Reactor Scram due to High Moisture Separator Level,['Unclassified'],['Unclassified']
2662021001.0,Point Beach 1,07/31/2021,09/28/2021,Main Feedwater Pump Trip Results in Manual Reactor Trip,['Unclassified'],"['Equipment and Mechanical Failures', 'Operational Incidents']"
2692022001.0,Oconee 1,11/01/2022,12/21/2022,Ultrasonic Examination Indication Identifies Degraded Reactor Coolant System Pressure Boundary,['Unclassified'],['Unclassified']
2692022002.0,Oconee 1,11/14/2022,01/12/2023,Reactor Coolant System Pressure Boundary Leak on Reactor Coolant Pump Lower Bearing Thermowell,['Unclassified'],['Equipment and Mechanical Failures']
2702021001.0,Oconee 2,08/03/2021,10/04/2021,2B Motor Driven Emergency Feedwater Pump Past Inoperability Resulted In Condition Prohibited by Technical Specifications,['Unclassified'],['Equipment and Mechanical Failures']
2702021002.0,"Oconee 2, Oconee 1",11/27/2021,01/26/2022,Actuation of the Keowee Hydroelectric Station due to Loss of AC Power to the Unit 2 Main Feeder Buses,['Unclassified'],['Electrical and Power Issues']
2702021003.0,Oconee 2,12/05/2021,02/07/2022,Conditions Prohibited by Technical Specifications due to SSF and PSW Inoperability,['Unclassified'],['Unclassified']
2702021004.0,Oconee 2,12/09/2021,02/07/2022,More Than One Axial Power Shaping Rod not Aligned Within Technical Specification Limits,['Unclassified'],['Electrical and Power Issues']
2702021005.0,Oconee 2,12/10/2021,02/08/2022,Unit 2 Automatic Reactor Trip due to Spurious Trip Signal Concurrent with System Testing,['Unclassified'],['Operational Incidents']
2702022001.0,Oconee 2,02/05/2022,04/06/2022,Unit 2 Automatic Reactor Trip due to Loss of Power to Reactor Coolant Pumps,['Unclassified'],"['Equipment and Mechanical Failures', 'Electrical and Power Issues', 'Operational Incidents']"
2702022002.0,Oconee 2,02/13/2022,04/14/2022,Automatic Actuation of Emergency Feedwater System due to Main Feedwater Pump Malfunction,['Unclassified'],['Equipment and Mechanical Failures']
2702022003.0,Oconee 2,02/21/2022,04/21/2022,Manual Reactor Trip due to Main Feedwater Control Valve Positioner Malfunction,['Unclassified'],"['Equipment and Mechanical Failures', 'Operational Incidents']"
2702023001.0,Oconee 2,04/17/2023,02/29/2024,"Inappropriate Procedural Guidance for Planned Online Maintenance Results in Event or Condition That Could Have Prevented 
Fulfillment of a Safety Function",['Design or Maintenance Issues'],['Unclassified']
2752023001.0,Diablo Canyon 1,09/30/2023,11/22/2023,Unit 1 Manual Reactor Trip at Low Power,['Unclassified'],"['Electrical and Power Issues', 'Operational Incidents']"
2772021001.0,Peach Bottom 2,04/29/2021,06/24/2021,High Pressure Coolant Injection System Declared Inoperable Due to Instrument Power Inverter Failure,['Unclassified'],"['Equipment and Mechanical Failures', 'Electrical and Power Issues']"
2772021002.0,Peach Bottom 2,05/18/2021,07/16/2021,Safety Relief Valve Inoperability due to Nitrogen Leakage from Braided Hose Wear,['Unclassified'],"['Equipment and Mechanical Failures', 'Environmental and Containment Issues']"
2772021003.0,Peach Bottom 2,11/14/2021,01/12/2022,Manual Reactor Scram due to Degrading Condenser Vacuum,['Unclassified'],['Unclassified']
2772022001.0,Peach Bottom 2,05/16/2022,07/15/2022,Automatic Reactor Scram due to Loss of Power to Both RPS Buses,['Unclassified'],['Electrical and Power Issues']
2772022002.0,Peach Bottom 2,10/17/2022,12/15/2022,Automatic Depressurization System Safety Relief Valve Actuator Diaphragm Degraded,['Unclassified'],['Equipment and Mechanical Failures']
2782023001.0,Peach Bottom 3,09/09/2023,11/07/2023,Standby Liquid Control Pump Inoperable for Greater than LCO Window due to Gas Intrusion,['Unclassified'],['Equipment and Mechanical Failures']
2782023002.0,Peach Bottom 3,10/16/2023,12/14/2023,Main Steam Isolation Valves Stroke Times Exceed Technical Specification Limit,['Unclassified'],"['Equipment and Mechanical Failures', 'Environmental and Containment Issues']"
2802021001.0,"Surry 1, Surry 2",09/13/2021,11/11/2021,Unanalyzed Condition due to Appendix R Concern Identified with Cable Separation,['Unclassified'],['Unclassified']
2802022001.0,"Surry 1, Surry 2",03/22/2022,05/18/2022,Failure of Two Intake Canal Level Probes due to Biofouling,['Unclassified'],['Equipment and Mechanical Failures']
2802022002.0,"Surry 1, Surry 2",07/25/2022,09/15/2022,Failure of Unit 1 Emergency Diesel Generator Results in an Operation or Condition Prohibited by Technical Specifications,['Unclassified'],"['Equipment and Mechanical Failures', 'Electrical and Power Issues']"
2802022003.0,Surry 1,09/15/2022,11/11/2022,Loss of Emergency Switchgear Room Cooling due to Use of Incorrect Air Handler Fan V-Belts,['Unclassified'],['Unclassified']
2822021001.0,"Prairie Island 1, Prairie Island 2",01/26/2021,03/22/2021,12 Diesel Driven Cooling Water Pump Auto Start due to Low System Pressure,['Unclassified'],['Equipment and Mechanical Failures']
2822021002.0,"Prairie Island 1, Prairie Island 2",10/17/2021,12/13/2021,Loss of Electrical Bus Results in 121 Motor Driven Cooling Water Pump Auto Start,['Unclassified'],['Equipment and Mechanical Failures']
2822022001.0,"Prairie Island 1, Prairie Island 2",08/15/2022,10/17/2022,Fuel Assemblies Incorrectly Placed in Spent Fuel Pool,['Unclassified'],['Unclassified']
2822023001.0,"Prairie Island 1, Prairie Island 2",10/19/2023,03/21/2024,"Reactor Trip, Auxiliary Feedwater and Emergency Service Water System Actuation due to Electrical Transient in DC Control Power Cables",['Unclassified'],"['Electrical and Power Issues', 'Operational Incidents']"
2872022001.0,Oconee 3,01/26/2022,03/28/2022,Response Actions Resulted in Brief Inoperability of Both Onsite and Offsite Emergency AC Power Paths,['Unclassified'],['Electrical and Power Issues']
2872022002.0,Oconee 3,05/06/2022,07/01/2022,Automatic Actuation of Emergency Feedwater System due to Malfunctioning Startup Feedwater Control Valve,['Unclassified'],['Equipment and Mechanical Failures']
2872023001.0,Oconee 3,01/08/2023,03/09/2023,Condition Prohibited by Technical Specifications due to Isolation Valve Exceeding Inservice Testing Leakage Requirements,['Unclassified'],"['Equipment and Mechanical Failures', 'Environmental and Containment Issues']"
2872023002.0,Oconee 3,06/23/2023,02/29/2024,Passive Containment Isolation Device Inoperability Results in Operation or Condition Prohibited by Technical Specifications,['Unclassified'],['Environmental and Containment Issues']
2962022001.0,Browns Ferry 3,05/10/2022,07/11/2022,Main Steam Relief Valves Lift Settings Outside of Technical Specifications Required Setpoints,['Unclassified'],['Equipment and Mechanical Failures']
2962022002.0,Browns Ferry 3,10/18/2022,12/19/2022,Both Standby Liquid Control Subsystems Inoperable due to an Insufficient Boron Injection Rate,['Unclassified'],['Unclassified']
2962022003.0,Browns Ferry 3,12/02/2022,07/31/2023,Pressure Boundary Leak on Residual Heat Removal System Low Pressure Coolant Injection Test Line due to Fatigue Failure,['Unclassified'],['Equipment and Mechanical Failures']
2982021001.0,Cooper Station,02/09/2021,04/12/2021,Secondary Containment Differential Pressure Perturbation Exceeds Technical Specifications,['Unclassified'],['Environmental and Containment Issues']
2982021002.0,Cooper Station,03/20/2021,05/17/2021,Valve Test Failures Result in Condition Prohibited by Technical Specifications,['Unclassified'],['Equipment and Mechanical Failures']
2982021003.0,Cooper Station,10/28/2021,12/27/2021,Failure of High Pressure Coolant Injection Flow Indicating Switch Results in Condition Prohibited by Technical Specifications,['Unclassified'],['Equipment and Mechanical Failures']
2982022001.0,Cooper Station,05/23/2022,07/20/2022,Secondary Containment Differential Pressure Perturbation Exceeds Technical Specifications Limit,['Unclassified'],['Environmental and Containment Issues']
2982022002.0,Cooper Station,10/22/2022,06/29/2023,Manual Core Spray Injection to Restore Skimmer Surge Tank Level,['Unclassified'],['Unclassified']
2982022003.0,Cooper Station,11/12/2022,01/11/2023,Actuation of Reactor Protection System Initiates a Full Reactor Scram,['Unclassified'],['Unclassified']
2982022004.0,Cooper Station,12/16/2022,05/11/2023,Manual Reactor Scram and Group I Isolation due to Main Turbine Bypass Valve Failing Open,['Unclassified'],"['Equipment and Mechanical Failures', 'Environmental and Containment Issues']"
2982023001.0,Cooper Station,03/08/2023,05/08/2023,Valve Test Failures Result in Condition Prohibited by Technical Specifications,['Unclassified'],['Equipment and Mechanical Failures']
2982023002.0,Cooper Station,10/22/2023,06/06/2024,Secondary Containment Differential Pressure Perturbation Exceeds Technical Specifications,['Unclassified'],['Environmental and Containment Issues']
2982024002.0,Cooper Station,08/27/2022,03/04/2024,Technical Specifications Prohibited Condition for Inoperable Service Water Booster Pump,['Unclassified'],['Equipment and Mechanical Failures']
3062021001.0,Prairie Island 2,10/03/2021,11/18/2021,22 Turbine Driven Auxiliary Feedwater Pump Actuation Signal Due to Procedure Error,['Human Factors and Errors'],['Equipment and Mechanical Failures']
3062023001.0,Prairie Island 2,05/27/2023,07/18/2023,2GT/XFMR Lockout due to Failure of Lightning Arrester Caused Unit 2 Reactor Trip,['Unclassified'],"['Equipment and Mechanical Failures', 'Operational Incidents']"
3112022001.0,Salem 2,12/24/2022,02/21/2023,Invalid Safety Injection and Valid Reactor Trip due to Inaccurate Steam Generator Pressure Indications,['Unclassified'],"['Electrical and Power Issues', 'Operational Incidents']"
3132021001.0,Arkansas 1,03/14/2021,05/13/2021,Reactor Manual Trip due to Temporary Loss of Non-Vital 4160 Volt Bus,['Unclassified'],['Unclassified']
3132021002.0,Arkansas 1,11/29/2021,01/27/2022,Automatic Reactor Trip due to High Reactor Coolant System Pressure,['Unclassified'],['Operational Incidents']
3132023001.0,Arkansas 1,02/14/2023,04/14/2023,Automatic Reactor Trip due to Reactor Protection System Actuation,['Unclassified'],['Operational Incidents']
3132023002.0,Arkansas 1,04/11/2023,06/09/2023,Reactor Protection System Underpower Relay Test Failure Resulting in Condition Prohibited by Technical Specifications,['Unclassified'],"['Equipment and Mechanical Failures', 'Electrical and Power Issues']"
3152021001.0,"Cook 1, Cook 2",02/26/2021,04/29/2021,Condition Prohibited by Technical Specifications due to Loss of Train B Reserve Power,['Unclassified'],['Electrical and Power Issues']
3152022001.0,Cook 1,05/24/2022,07/21/2022,Manual Reactor Trip Following Manual Turbine Trip due to High Vibrations on Main Turbine,['Unclassified'],['Operational Incidents']
3152022002.0,Cook 1,07/20/2022,09/19/2022,Unit 1 Ice Condenser Door Inoperable Resulting in a Condition Prohibited by Technical Specifications,['Unclassified'],['Unclassified']
3152022003.0,Cook 1,08/28/2022,02/22/2023,Automatic Reactor Trip on Loss of Flow due to Reactor Coolant Pump Trip,['Unclassified'],"['Equipment and Mechanical Failures', 'Operational Incidents']"
3152023001.0,"Cook 1, Cook 2",07/31/2023,09/28/2023,Two Trains of Fuel Handling Area Exhaust Ventilation Inoperable,['Unclassified'],['Unclassified']
3152023002.0,Cook 1,10/15/2023,12/12/2023,Failure of Unit 1 West Auxiliary Feedwater Pump to Restart During Load Sequencer Testing,['Unclassified'],['Equipment and Mechanical Failures']
3162021001.0,Cook 2,04/15/2021,06/10/2021,Main Steam Safety Valve Setpoints Found Outside Technical Specifications Limits,['Unclassified'],['Equipment and Mechanical Failures']
3162021002.0,Cook 2,06/22/2021,08/18/2021,Manual Reactor Trip due to an Unisolable Steam Leak,['Unclassified'],['Operational Incidents']
3162022001.0,Cook 2,11/10/2022,01/04/2023,Automatic Reactor Trip due to Steam Generator High-High Level,['Unclassified'],"['Electrical and Power Issues', 'Operational Incidents']"
3172023001.0,Calvert Cliffs 1,09/29/2023,11/27/2023,Condition Prohibited by Technical Specifications due to Failure to Sample Diesel Generator Fuel Oil Storage Tank,['Unclassified'],"['Equipment and Mechanical Failures', 'Electrical and Power Issues']"
3182021001.0,Calvert Cliffs 2,03/04/2021,04/21/2021,Pressurizer Heater Sleeve Weld Pressure Boundary Leakage Caused by Primary Water Stress Corrosion Cracking,['Unclassified'],['Environmental and Containment Issues']
3182021002.0,Calvert Cliffs 2,03/21/2021,05/19/2021,Manual Reactor Trip due to Lowering Steam Generator Level Following Main Feedwater Regulating Valve Going Shut,['Unclassified'],"['Equipment and Mechanical Failures', 'Electrical and Power Issues', 'Operational Incidents']"
3182021003.0,Calvert Cliffs 2,08/10/2021,09/23/2021,Auxiliary Feedwater Pump Inoperable due to Improper Reset of Trip Throttle Valve,['Unclassified'],['Equipment and Mechanical Failures']
3182021004.0,Calvert Cliffs 2,11/21/2021,01/18/2022,Unit 2 Manual Reactor Trip due to Lowering Steam Generator Levels,['Unclassified'],"['Electrical and Power Issues', 'Operational Incidents']"
3182022001.0,Calvert Cliffs 2,01/03/2022,03/03/2022,Unit 2 Automatic Reactor Trip due to High Reactor Coolant System Pressure,['Unclassified'],['Operational Incidents']
3182022002.0,Calvert Cliffs 2,09/14/2022,11/11/2022,Unplanned Safety Injection Actuation Signal due to Human Error,['Human Factors and Errors'],['Unclassified']
